id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
6462,Jackitup,,WA,Western Australia,6335,Rural locality,-33.88917,118.09111,281,52,29900,433.65000,Gnowangerup (Shire),Western Australia - Wheat Belt,Australia/Perth
6463,Jack River,,VIC,Victoria,3971,Rural locality,-38.55289,146.58158,32,134,30264,49.60400,Wellington (Shire),Latrobe - Gippsland,Australia/Melbourne
6464,Jacks Creek,,NSW,New South Wales,2390,Rural locality,-30.45470,149.73988,268,135,28444,269.18200,Narrabri (Area),New England and North West,Australia/Sydney
6465,Jackson,,QLD,Queensland,4426,Rural locality,-26.64223,149.62317,324,57,23400,89.74200,Maranoa (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
6466,Jackson North,,QLD,Queensland,4426,Rural locality,-26.52872,149.64200,372,61,28912,646.59600,Maranoa (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
6467,Jacksons Flat,,NSW,New South Wales,2469,Rural locality,-28.84166,152.55056,163,9,28912,15.07000,Kyogle (Area),Richmond - Tweed,Australia/Sydney
6468,Jackson South,,QLD,Queensland,4426,Rural locality,-26.68003,149.62147,310,10,50024,321.24700,Maranoa (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
6469,Jacky Bulbin Flat,,NSW,New South Wales,2463,Rural locality,-29.26733,153.22392,38,24,17524,84.57500,Clarence Valley (Area),Coffs Harbour - Grafton,Australia/Sydney
6470,Jacob Creek,,VIC,Victoria,3825,Rural locality,-38.00534,146.41040,373,23,29900,18.95300,Baw Baw (Shire),Latrobe - Gippsland,Australia/Melbourne
6471,Jacobs Well,,QLD,Queensland,4208,Urban locality,-27.78077,153.36459,7,1839,37908,13.56700,Gold Coast (City),Gold Coast,Australia/Brisbane
6472,Jacup,,WA,Western Australia,6337,Rural locality,-33.77833,119.28778,271,68,48048,696.80300,Jerramungup (Shire),Western Australia - Wheat Belt,Australia/Perth
6473,Jaffa,,QLD,Queensland,4855,Rural locality,-17.78914,146.00495,20,18,23400,9.45100,Cassowary Coast (Regional Council),Cairns,Australia/Brisbane
6474,Jaggan,,QLD,Queensland,4885,Rural locality,-17.39596,145.59767,762,188,27040,32.23900,Tablelands (Regional Council),Cairns,Australia/Brisbane
6475,Jagumba,,NSW,New South Wales,2642,Rural locality,-36.03909,148.30922,1382,0,0,374.26900,Snowy Valleys (Area),Riverina,Australia/Sydney
6476,Jagungal Wilderness,,NSW,New South Wales,2642,Rural locality,-36.16166,148.31403,1451,0,0,462.14500,Snowy Valleys (Area),Riverina,Australia/Sydney
6477,Jalbarragup,,WA,Western Australia,6275,Rural locality,-34.04410,115.61161,94,125,24388,264.46200,Nannup (Shire),Bunbury,Australia/Perth
6478,Jaloran,,WA,Western Australia,6315,Rural locality,-33.17917,117.42833,311,32,32188,199.52600,Wagin (Shire),Western Australia - Wheat Belt,Australia/Perth
6479,Jamberoo,,NSW,New South Wales,2533,Urban locality,-34.64842,150.77660,25,1636,36712,58.88000,Kiama (Area),Illawarra,Australia/Sydney
6480,Jamboree Heights,Brisbane,QLD,Queensland,4074,Suburb,-27.55640,152.93284,28,3093,38740,1.15000,Brisbane (City),Brisbane - West,Australia/Brisbane
6481,James Creek,,NSW,New South Wales,2463,Rural locality,-29.44695,153.25311,17,211,23400,11.14700,Clarence Valley (Area),Coffs Harbour - Grafton,Australia/Sydney
6482,Jamestown,,SA,South Australia,5491,Urban locality,-33.20387,138.60543,457,1561,31772,176.34600,Northern Areas (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
6483,James Well,,SA,South Australia,5571,Rural locality,-34.48109,137.89758,10,45,22880,1.38500,Yorke Peninsula (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
6484,Jamieson,,SA,South Australia,5640,Rural locality,-33.44716,136.41989,313,0,0,114.07100,Cleve (District Council),South Australia - Outback,Australia/Adelaide
6485,Jamieson,,VIC,Victoria,3723,Rural locality,-37.30072,146.13588,298,301,21580,152.70800,Mansfield (Shire),Hume,Australia/Melbourne
6486,Jamisontown,Sydney,NSW,New South Wales,2750,Suburb,-33.76619,150.67951,30,5500,38168,3.95800,Penrith (City),Sydney - Outer West and Blue Mountains,Australia/Sydney
6487,Jam Jerrup,,VIC,Victoria,3984,Rural locality,-38.32425,145.52124,22,97,29900,10.24200,Bass Coast (Shire),Latrobe - Gippsland,Australia/Melbourne
6488,Jancourt,,VIC,Victoria,3266,Rural locality,-38.36814,143.09781,116,29,34528,9.02000,Corangamite (Shire),Warrnambool and South West,Australia/Melbourne
6489,Jancourt East,,VIC,Victoria,3266,Rural locality,-38.38846,143.14656,163,188,30992,103.10200,Corangamite (Shire),Warrnambool and South West,Australia/Melbourne
6490,Jandabup,,WA,Western Australia,6077,Rural locality,-31.73907,115.85698,67,300,36244,18.64700,Wanneroo (City),Perth - North West,Australia/Perth
6491,Jandakot,Perth,WA,Western Australia,6164,Suburb,-32.10242,115.87222,33,2657,37388,16.17300,Cockburn (City),Perth - South West,Australia/Perth
6492,Jandowae,,QLD,Queensland,4410,Urban locality,-26.78120,151.10982,360,1047,24596,254.11100,Western Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
6493,Jane Brook,Perth,WA,Western Australia,6056,Suburb,-31.85917,116.04739,30,3488,43732,5.22700,Swan (City),Perth - North East,Australia/Perth
6494,Jan Juc,,VIC,Victoria,3228,Urban locality,-38.34415,144.30365,12,3683,43420,6.08700,Surf Coast (Shire),Geelong,Australia/Melbourne
6495,Jannali,Sydney,NSW,New South Wales,2226,Suburb,-34.01707,151.06508,77,6184,40560,2.49600,Sutherland Shire (Area),Sydney - Sutherland,Australia/Sydney
6496,Japoonvale,,QLD,Queensland,4856,Rural locality,-17.73367,145.95365,31,141,21684,35.96900,Cassowary Coast (Regional Council),Cairns,Australia/Brisbane
6497,Jardee,,WA,Western Australia,6258,Rural locality,-34.30486,116.11910,277,173,36192,40.84200,Manjimup (Shire),Bunbury,Australia/Perth
6498,Jardine,,QLD,Queensland,4702,Rural locality,-23.05413,150.38997,28,59,19916,61.51200,Livingstone (Shire),Central Queensland,Australia/Brisbane
6499,Jardine River,,QLD,Queensland,4874,Rural locality,-11.21195,142.61728,51,0,0,2753.68100,Cook (Shire),Queensland - Outback,Australia/Brisbane
6500,Jarklin,,VIC,Victoria,3517,Rural locality,-36.26946,143.96667,111,37,44200,131.99500,Loddon (Shire),Bendigo,Australia/Melbourne
6501,Jarra Creek,,QLD,Queensland,4854,Rural locality,-17.94381,145.89790,31,134,30420,63.19000,Cassowary Coast (Regional Council),Cairns,Australia/Brisbane
6502,Jarrahdale,,WA,Western Australia,6124,Rural locality,-32.33832,116.07249,255,1192,37440,256.38700,Serpentine-Jarrahdale (Shire),Perth - South East,Australia/Perth
6503,Jarrahmond,,VIC,Victoria,3888,Rural locality,-37.69998,148.40739,15,105,30836,64.18000,East Gippsland (Shire),Latrobe - Gippsland,Australia/Melbourne
6504,Jarrahwood,,WA,Western Australia,6275,Rural locality,-33.79468,115.66327,128,20,18200,0.99400,Busselton (City),Bunbury,Australia/Perth
6505,Jarvis Creek,,VIC,Victoria,3700,Rural locality,-36.18348,147.22413,469,43,40248,58.87000,Towong (Shire),Hume,Australia/Melbourne
6506,Jarvisfield,,QLD,Queensland,4807,Rural locality,-19.57751,147.47404,12,367,37232,101.60600,Burdekin (Shire),Townsville,Australia/Brisbane
6507,Jaspers Brush,,NSW,New South Wales,2535,Rural locality,-34.80332,150.65759,25,359,39468,26.43100,Shoalhaven (City),Southern Highlands and Shoalhaven,Australia/Sydney
6508,Jaunter,,NSW,New South Wales,2787,Rural locality,-33.98692,149.88929,1150,12,19448,61.59200,Oberon (Area),Central West,Australia/Sydney
6509,Jeebropilly,,QLD,Queensland,4340,Rural locality,-27.64593,152.65526,42,7,0,11.65800,Ipswich (City),Ipswich,Australia/Brisbane
6510,Jeeralang,,VIC,Victoria,3840,Rural locality,-38.40575,146.47788,612,72,22984,66.42800,Latrobe (City),Latrobe - Gippsland,Australia/Melbourne
6511,Jeeralang Junction,,VIC,Victoria,3840,Rural locality,-38.33863,146.41244,155,560,37804,11.69000,Latrobe (City),Latrobe - Gippsland,Australia/Melbourne
6512,Jeetho,,VIC,Victoria,3945,Rural locality,-38.39468,145.74107,149,106,31044,20.43700,South Gippsland (Shire),Latrobe - Gippsland,Australia/Melbourne
6513,Jeffcott,,VIC,Victoria,3480,Rural locality,-36.35094,143.11254,143,34,23348,93.09900,Buloke (Shire),North West,Australia/Melbourne
6514,Jeffcott North,,VIC,Victoria,3480,Rural locality,-36.26284,143.06805,114,9,15548,80.41300,Buloke (Shire),North West,Australia/Melbourne
6515,Jeir,,NSW,New South Wales,2582,Rural locality,-35.03326,148.97556,560,259,59592,109.10300,Yass Valley (Area),Capital Region,Australia/Sydney
6516,Jelcobine,,WA,Western Australia,6306,Rural locality,-32.40694,116.76611,305,161,42328,520.78100,Brookton (Shire),Western Australia - Wheat Belt,Australia/Perth
6517,Jellat Jellat,,NSW,New South Wales,2550,Rural locality,-36.71758,149.89360,1,84,36140,10.60300,Bega Valley (Area),Capital Region,Australia/Sydney
6518,Jellinbah,,QLD,Queensland,4702,Rural locality,-23.27091,148.86044,127,35,46800,593.62000,Central Highlands (Regional Council),Central Queensland,Australia/Brisbane
6519,Jemalong,,NSW,New South Wales,2871,Rural locality,-33.40088,147.77687,232,78,35100,289.41600,Forbes (Area),Central West,Australia/Sydney
6520,Jembaicumbene,,NSW,New South Wales,2622,Rural locality,-35.52964,149.79821,667,41,32760,42.65600,Queanbeyan-Palerang Regional (Area),Capital Region,Australia/Sydney
6521,Jennacubbine,,WA,Western Australia,6401,Rural locality,-31.43934,116.71642,186,60,28600,71.38500,Goomalling (Shire),Western Australia - Wheat Belt,Australia/Perth
6522,Jennapullin,,WA,Western Australia,6401,Rural locality,-31.53136,116.71410,189,69,34424,105.38800,Northam (Shire),Western Australia - Wheat Belt,Australia/Perth
6523,Jennings,,NSW,New South Wales,4383,Rural locality,-28.94051,151.96942,919,160,21788,52.34700,Tenterfield (Area),New England and North West,Australia/Sydney
6524,Jenolan,,NSW,New South Wales,2790,Rural locality,-33.76405,150.02955,1211,19,55224,232.60300,Oberon (Area),Central West,Australia/Sydney
6525,Jensen,,QLD,Queensland,4818,Rural locality,-19.25114,146.65218,19,1476,37284,14.92700,Townsville (City),Townsville,Australia/Brisbane
6526,Jeogla,,NSW,New South Wales,2350,Rural locality,-30.57189,152.11082,986,40,27924,681.95400,Armidale Regional (Area),New England and North West,Australia/Sydney
6527,Jeparit,,VIC,Victoria,3423,Urban locality,-36.14057,141.98719,87,477,21164,716.22200,Hindmarsh (Shire),North West,Australia/Melbourne
6528,Jerangle,,NSW,New South Wales,2630,Rural locality,-35.88573,149.35887,1163,96,42432,359.51300,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
6529,Jerdacuttup,,WA,Western Australia,6346,Rural locality,-33.77488,120.43194,97,149,65832,1188.41100,Ravensthorpe (Shire),Western Australia - Outback (South),Australia/Perth
6530,Jeremadra,,NSW,New South Wales,2536,Rural locality,-35.80913,150.13660,37,168,28496,15.88400,Eurobodalla (Area),Capital Region,Australia/Sydney
6531,Jeremy,,NSW,New South Wales,2795,Rural locality,-33.97871,149.54819,801,3,0,68.33500,Oberon (Area),Central West,Australia/Sydney
6532,Jericho,,QLD,Queensland,4728,Rural locality,-23.60272,146.12630,352,115,23868,86.47000,Barcaldine (Regional Council),Queensland - Outback,Australia/Brisbane
6533,Jericho,,SA,South Australia,5554,Urban locality,-33.96610,137.68374,44,15,20332,0.66300,Copper Coast (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
6534,Jericho,,TAS,Tasmania,7030,Rural locality,-42.37828,147.28026,410,59,35048,91.51700,Southern Midlands (Municipality),South East,Australia/Hobart
6535,Jericho,,VIC,Victoria,3825,Rural locality,-37.63692,146.27039,566,0,0,237.09300,Baw Baw (Shire),Latrobe - Gippsland,Australia/Melbourne
6536,Jerilderie,,NSW,New South Wales,2716,Urban locality,-35.35645,145.72928,112,1029,31356,1470.43900,Murrumbidgee (Area),Murray,Australia/Sydney
6537,Jerona,,QLD,Queensland,4809,Rural locality,-19.44657,147.23790,7,40,22984,110.79200,Burdekin (Shire),Townsville,Australia/Brisbane
6538,Jerrabattgulla,,NSW,New South Wales,2622,Rural locality,-35.68921,149.58834,719,11,24232,38.08800,Queanbeyan-Palerang Regional (Area),Capital Region,Australia/Sydney
6539,Jerrabomberra,Canberra,ACT,Australian Capital Territory,2620,Suburb,-35.36597,149.15866,600,33,56316,20.41800,Unincorporated,Australian Capital Territory,Australia/Sydney
6540,Jerrabomberra,Queanbeyan,NSW,New South Wales,2619,Suburb,-35.38192,149.19836,616,9508,63492,11.33000,Queanbeyan-Palerang Regional (Area),Capital Region,Australia/Sydney
6541,Jerramungup,,WA,Western Australia,6337,Urban locality,-33.94122,118.92181,313,356,44096,1072.17800,Jerramungup (Shire),Western Australia - Wheat Belt,Australia/Perth
6542,Jerrara,,NSW,New South Wales,2533,Rural locality,-34.66993,150.81852,47,157,42172,9.37200,Kiama (Area),Illawarra,Australia/Sydney
6543,Jerrawa,,NSW,New South Wales,2582,Rural locality,-34.78999,149.09903,581,73,30472,70.06400,Upper Lachlan Shire (Area),Capital Region,Australia/Sydney
6544,Jerrawangala,,NSW,New South Wales,2540,Rural locality,-35.12722,150.47162,71,70,42588,95.07100,Shoalhaven (City),Southern Highlands and Shoalhaven,Australia/Sydney
6545,Jerrong,,NSW,New South Wales,2580,Rural locality,-34.15603,149.86564,921,14,24648,64.77900,Oberon (Area),Central West,Australia/Sydney
6546,Jerrys Plains,,NSW,New South Wales,2330,Rural locality,-32.49186,150.90493,88,385,39676,213.95100,Singleton (Area),Hunter Valley exc Newcastle,Australia/Sydney
6547,Jerseyville,,NSW,New South Wales,2431,Rural locality,-30.93510,153.03533,6,112,23712,7.49000,Kempsey (Area),Mid North Coast,Australia/Sydney
6548,Jeruk,,VIC,Victoria,3527,Rural locality,-36.02996,143.38833,105,14,23400,42.83700,Buloke (Shire),North West,Australia/Melbourne
6549,Jerusalem,,SA,South Australia,5554,Urban locality,-33.97353,137.71099,43,397,30160,1.52600,Copper Coast (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
6550,Jervis Bay,,JBT,Jervis Bay Territory,2540,Urban locality,-35.12744,150.70715,32,391,32708,67.81300,Unincorporated,Other Territories,Australia/Sydney
6551,Jervois,,SA,South Australia,5259,Rural locality,-35.26465,139.44083,4,301,28392,59.76300,Murray Bridge (Rural City),South Australia - South East,Australia/Adelaide
6552,Jesmond,Newcastle,NSW,New South Wales,2299,Suburb,-32.90313,151.69086,12,3045,20696,1.22300,Newcastle (City),Newcastle and Lake Macquarie,Australia/Sydney
6553,Jetsonville,,TAS,Tasmania,7260,Rural locality,-41.12818,147.48466,164,137,24908,55.12700,Dorset (Municipality),Launceston and North East,Australia/Hobart
6554,Jewells,Newcastle,NSW,New South Wales,2280,Suburb,-33.01413,151.68317,20,2407,34320,2.94600,Lake Macquarie (City),Newcastle and Lake Macquarie,Australia/Sydney
6555,Jews Lagoon,,NSW,New South Wales,2397,Rural locality,-29.87237,149.46482,176,0,0,321.78600,Narrabri (Area),New England and North West,Australia/Sydney
6556,Jibberding,,WA,Western Australia,6612,Rural locality,-30.02340,116.78482,295,50,40248,1054.03900,Dalwallinu (Shire),Western Australia - Wheat Belt,Australia/Perth
6557,Jiggi,,NSW,New South Wales,2480,Rural locality,-28.68057,153.18201,42,394,27716,32.22400,Lismore (City),Richmond - Tweed,Australia/Sydney
6558,Jilakin,,WA,Western Australia,6365,Rural locality,-32.68361,118.43833,300,45,35048,589.94500,Kulin (Shire),Western Australia - Wheat Belt,Australia/Perth
6559,Jil Jil,,VIC,Victoria,3483,Rural locality,-35.83496,142.99266,95,18,58500,163.09300,Buloke (Shire),North West,Australia/Melbourne
6560,Jilkminggan,,NT,Northern Territory,0852,Urban locality,-14.95559,133.30395,111,301,11700,6.09800,Roper Gulf (Regional Council),Northern Territory - Outback,Australia/Darwin
6561,Jilliby,,NSW,New South Wales,2259,Rural locality,-33.23085,151.39187,25,1646,37024,84.02000,Central Coast (City),Central Coast,Australia/Sydney
6562,Jimboomba,,QLD,Queensland,4280,Urban locality,-27.83140,153.02847,43,13201,36712,89.99100,Logan (City),Logan - Beaudesert,Australia/Brisbane
6563,Jimbour East,,QLD,Queensland,4406,Rural locality,-26.93125,151.28609,405,199,34788,289.69000,Western Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
6564,Jimbour West,,QLD,Queensland,4406,Rural locality,-26.88815,151.09853,338,56,32968,236.72400,Western Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
6565,Jimenbuen,,NSW,New South Wales,2628,Rural locality,-36.74249,148.84330,868,35,23348,338.37900,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
6566,Jimna,,QLD,Queensland,4515,Rural locality,-26.66042,152.46471,497,91,18824,315.82900,Somerset (Regional Council),Moreton Bay - North,Australia/Brisbane
6567,Jincumbilly,,NSW,New South Wales,2631,Rural locality,-36.72951,149.21672,813,4,0,44.85300,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
6568,Jindabyne,,NSW,New South Wales,2627,Urban locality,-36.41507,148.61887,921,2629,40612,113.11900,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
6569,Jindalee,Brisbane,QLD,Queensland,4074,Suburb,-27.53432,152.93494,15,5320,40924,2.77700,Brisbane (City),Brisbane - West,Australia/Brisbane
6570,Jindalee,Perth,WA,Western Australia,6036,Suburb,-31.64434,115.68323,23,2519,46904,3.67900,Wanneroo (City),Perth - North West,Australia/Perth
6571,Jinden,,NSW,New South Wales,2622,Rural locality,-35.89475,149.59649,791,17,14560,126.09000,Queanbeyan-Palerang Regional (Area),Capital Region,Australia/Sydney
6572,Jindera,,NSW,New South Wales,2642,Rural locality,-35.95007,146.88595,237,2222,36400,138.38900,Greater Hume Shire (Area),Murray,Australia/Sydney
6573,Jindivick,,VIC,Victoria,3818,Rural locality,-38.02691,145.89882,264,491,29692,73.54000,Baw Baw (Shire),Latrobe - Gippsland,Australia/Melbourne
6574,Jindong,,WA,Western Australia,6280,Rural locality,-33.75155,115.23465,38,78,42484,22.39400,Busselton (City),Bunbury,Australia/Perth
6575,Jingalup,,WA,Western Australia,6395,Rural locality,-33.96836,117.02908,295,111,53508,394.98200,Kojonup (Shire),Western Australia - Wheat Belt,Australia/Perth
6576,Jingellic,,NSW,New South Wales,2642,Rural locality,-35.92561,147.69994,225,61,34424,151.07100,Snowy Valleys (Area),Riverina,Australia/Sydney
6577,Jingera,,NSW,New South Wales,2622,Rural locality,-35.69174,149.42328,968,39,32448,104.10200,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
6578,Jinghi,,QLD,Queensland,4410,Urban locality,-26.64220,151.09079,391,74,34788,211.58300,Western Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
6579,Jingili,Darwin,NT,Northern Territory,0810,Suburb,-12.39019,130.87170,15,1757,51116,1.31600,Darwin (City),Darwin,Australia/Darwin
6580,Jitarning,,WA,Western Australia,6365,Rural locality,-32.78624,117.99864,341,41,47788,440.38100,Kulin (Shire),Western Australia - Wheat Belt,Australia/Perth
6581,Joadja,,NSW,New South Wales,2575,Rural locality,-34.42101,150.22040,697,118,46800,76.86300,Wingecarribee (Area),Southern Highlands and Shoalhaven,Australia/Sydney
6582,Joanna,,SA,South Australia,5271,Rural locality,-37.09996,140.86683,83,94,44876,129.48800,Naracoorte and Lucindale (District Council),South Australia - South East,Australia/Adelaide
6583,Jobs Gate,,QLD,Queensland,4490,Rural locality,-28.93451,146.73827,139,6,37700,1468.02200,Paroo (Shire),Queensland - Outback,Australia/Brisbane
6584,Joel Joel,,VIC,Victoria,3384,Rural locality,-37.00633,142.99062,217,22,22048,55.45100,Northern Grampians (Shire),North West,Australia/Melbourne
6585,Joel South,,VIC,Victoria,3384,Rural locality,-37.05674,143.04973,230,25,34528,59.07200,Northern Grampians (Shire),North West,Australia/Melbourne
6586,Joes Box,,NSW,New South Wales,2469,Rural locality,-28.67061,152.58775,196,15,31824,13.40300,Kyogle (Area),Richmond - Tweed,Australia/Sydney
6587,Johanna,,VIC,Victoria,3238,Rural locality,-38.75760,143.38047,13,63,29900,37.23400,Colac-Otway (Shire),Warrnambool and South West,Australia/Melbourne
6588,Johnburgh,,SA,South Australia,5431,Rural locality,-32.45401,138.70531,389,13,56316,183.85200,Orroroo/Carrieton (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
6589,Johnsons Hill,,QLD,Queensland,4714,Rural locality,-23.61782,150.41562,299,10,16484,2.35400,Rockhampton (Regional Council),Central Queensland,Australia/Brisbane
6590,Johnsonville,,VIC,Victoria,3902,Rural locality,-37.82016,147.83056,32,327,24232,22.80000,East Gippsland (Shire),Latrobe - Gippsland,Australia/Melbourne
6591,Johns River,,NSW,New South Wales,2443,Rural locality,-31.73349,152.69515,20,322,24336,44.44100,Mid-Coast (Area),Mid North Coast,Australia/Sydney
6592,Johnston,Darwin,NT,Northern Territory,0832,Suburb,-12.49363,131.01171,43,2027,61776,2.60400,Palmerston (City),Darwin,Australia/Darwin
6593,Johnstown,,QLD,Queensland,4615,Rural locality,-26.41599,152.11668,414,30,37700,110.97700,South Burnett (Regional Council),Wide Bay,Australia/Brisbane
6594,Jolimont,Perth,WA,Western Australia,6014,Suburb,-31.94760,115.81157,25,1402,43212,0.74800,Subiaco (City),Perth - Inner,Australia/Perth
6595,Jolly Nose,,NSW,New South Wales,2445,Rural locality,-31.56679,152.78186,77,0,0,30.84200,Port Macquarie-Hastings (Area),Mid North Coast,Australia/Sydney
6596,Jollys Lookout,,QLD,Queensland,4520,Rural locality,-27.40208,152.81478,440,76,37700,3.55800,Moreton Bay (Regional Council),Moreton Bay - South,Australia/Brisbane
6597,Jondaryan,,QLD,Queensland,4403,Rural locality,-27.36869,151.59257,384,385,34372,196.45700,Toowoomba (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
6598,Jones Bridge,,NSW,New South Wales,2720,Rural locality,-35.37331,148.25656,299,22,46800,4.53100,Snowy Valleys (Area),Riverina,Australia/Sydney
6599,Jones Creek,,NSW,New South Wales,2722,Rural locality,-35.03491,148.07483,260,107,37700,89.09500,Cootamundra-Gundagai Regional (Area),Riverina,Australia/Sydney
6600,Jones Gully,,QLD,Queensland,4355,Rural locality,-27.18172,152.01736,578,14,29848,14.14000,Toowoomba (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
6601,Jones Hill,,QLD,Queensland,4570,Rural locality,-26.22804,152.67061,76,898,31980,8.02200,Gympie (Regional Council),Wide Bay,Australia/Brisbane
6602,Jones Island,,NSW,New South Wales,2430,Rural locality,-31.85959,152.58858,-1,59,20332,10.01100,Mid-Coast (Area),Mid North Coast,Australia/Sydney
6603,Joondalup,Perth,WA,Western Australia,6027,Suburb,-31.74652,115.76989,50,9090,36192,10.67900,Joondalup (City),Perth - North West,Australia/Perth
6604,Joondanna,Perth,WA,Western Australia,6060,Suburb,-31.91015,115.83731,40,4836,47580,1.45000,Stirling (City),Perth - North West,Australia/Perth
6605,Jordan Springs,Sydney,NSW,New South Wales,2747,Suburb,-33.72282,150.73370,47,5156,50076,3.98100,Penrith (City),Sydney - Outer West and Blue Mountains,Australia/Sydney
6606,Josephville,,QLD,Queensland,4285,Rural locality,-28.03821,152.93612,68,166,30628,60.44800,Scenic Rim (Regional Council),Logan - Beaudesert,Australia/Brisbane
6607,Joskeleigh,,QLD,Queensland,4702,Rural locality,-23.36704,150.78558,4,70,24024,24.60800,Livingstone (Shire),Central Queensland,Australia/Brisbane
6608,Joslin,Adelaide,SA,South Australia,5070,Suburb,-34.89935,138.62538,42,1151,38584,0.49900,Norwood Payneham St Peters (City),Adelaide - Central and Hills,Australia/Adelaide
6609,Joyces Creek,,VIC,Victoria,3364,Rural locality,-37.08740,143.99395,216,12,37700,36.35300,Mount Alexander (Shire),Bendigo,Australia/Melbourne
6610,Joyner,Brisbane,QLD,Queensland,4500,Suburb,-27.28729,152.95211,21,2833,37336,8.39300,Moreton Bay (Regional Council),Moreton Bay - South,Australia/Brisbane
6611,Jubilee Heights,,QLD,Queensland,4860,Rural locality,-17.47638,146.02742,21,143,47060,12.44700,Cassowary Coast (Regional Council),Cairns,Australia/Brisbane
6612,Jubilee Pocket,Airlie Beach - Cannonvale,QLD,Queensland,4802,Suburb,-20.28809,148.72938,18,1817,39832,3.95900,Whitsunday (Regional Council),Mackay - Isaac - Whitsunday,Australia/Brisbane
6613,Judbury,,TAS,Tasmania,7109,Rural locality,-42.99576,146.93095,43,392,23764,119.79500,Huon Valley (Municipality),South East,Australia/Hobart
6614,Judds Creek,,NSW,New South Wales,2795,Rural locality,-33.83371,149.55099,966,16,46800,42.36500,Oberon (Area),Central West,Australia/Sydney
6615,Jugiong,,NSW,New South Wales,2726,Rural locality,-34.82330,148.32490,255,222,33436,160.66900,Hilltops (Area),Capital Region,Australia/Sydney
6616,Julago,,QLD,Queensland,4816,Rural locality,-19.36309,146.88662,56,113,27924,23.60800,Townsville (City),Townsville,Australia/Brisbane
6617,Julanka Holdings,,SA,South Australia,5238,Rural locality,-34.87246,139.54625,6,0,0,0.20800,Mid Murray (District Council),South Australia - South East,Australia/Adelaide
6618,Julatten,,QLD,Queensland,4871,Rural locality,-16.59060,145.34038,414,1091,26572,154.00100,Mareeba (Shire),Queensland - Outback,Australia/Brisbane
6619,Julia,,SA,South Australia,5374,Rural locality,-34.10765,139.02098,484,24,32448,24.26500,Goyder (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
6620,Julia Creek,,QLD,Queensland,4823,Urban locality,-20.65717,141.74575,125,511,39052,6184.32000,McKinlay (Shire),Queensland - Outback,Australia/Brisbane
6621,Julimar,,WA,Western Australia,6567,Rural locality,-31.45222,116.16581,213,341,27872,276.47800,Toodyay (Shire),Western Australia - Wheat Belt,Australia/Perth
6622,Jumbuk,,VIC,Victoria,3869,Rural locality,-38.39698,146.41600,388,31,35360,23.05500,Latrobe (City),Latrobe - Gippsland,Australia/Melbourne
6623,Jumbunna,,VIC,Victoria,3951,Rural locality,-38.47057,145.77112,214,127,29900,17.25000,South Gippsland (Shire),Latrobe - Gippsland,Australia/Melbourne
6624,Junabee,,QLD,Queensland,4370,Rural locality,-28.24506,152.16975,505,213,32916,70.24200,Southern Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
6625,Juna Downs,,WA,Western Australia,6751,Rural locality,-22.60556,118.81639,661,228,149188,2141.86700,Ashburton (Shire),Western Australia - Outback (North),Australia/Perth
6626,Junction Hill,,NSW,New South Wales,2460,Urban locality,-29.64137,152.92580,35,1370,29432,7.47500,Clarence Valley (Area),Coffs Harbour - Grafton,Australia/Sydney
6627,Junction View,,QLD,Queensland,4343,Rural locality,-27.79675,152.18854,234,52,26728,27.89500,Lockyer Valley (Regional Council),Toowoomba,Australia/Brisbane
6628,Junction Village,Melbourne,VIC,Victoria,3977,Suburb,-38.13844,145.29408,60,1017,27612,1.18700,Casey (City),Melbourne - South East,Australia/Melbourne
6629,Jundah,,QLD,Queensland,4736,Rural locality,-25.02254,143.33012,180,106,43576,13084.68800,Barcoo (Shire),Queensland - Outback,Australia/Brisbane
6630,Junee,,NSW,New South Wales,2663,Urban locality,-34.87100,147.58468,305,4922,29900,31.02500,Junee (Area),Riverina,Australia/Sydney
6631,Junee Reefs,,NSW,New South Wales,2666,Rural locality,-34.72812,147.63037,284,84,42432,218.71100,Junee (Area),Riverina,Australia/Sydney
